Pro,L,Dock,Ship,Pcs,Wgt,LdTrlr,LdDoor,LoadTS,LoadDOW,LoadInterval,Dest,LoadTo,LoadToParent
2932918109,L,OB,1,1,147,TNUE50410,81,10:00.0,4,0:00,158,135,135
2932918136,L,OB,1,1,224,131329,61,13:00.0,4,19:00,890,890,890
2932918145,L,OB,1,1,220,127065,87,49:00.0,4,15:00,108,108,108
2932918154,L,OB,1,1,251,261046,54,36:00.0,4,2:00,841,841,841
2932918172,L,OB,1,1,116,137545,59,52:00.0,6,0:00,830,830,830
2932918181,L,OB,1,1,228,129654,63,19:00.0,5,15:00,890,890,890
2932918190,L,OB,1,1,376,261236,54,56:00.0,4,22:00,841,841,841
2932918228,L,OB,1,1,84,133618,17,43:00.0,5,6:00,243,243,857
2932918228,L,OB,1,1,84,133618,4,47:00.0,4,22:00,243,243,857
2932918237,L,OB,1,1,366,135252,44,41:00.0,5,3:00,216,216,216
2932918255,L,OB,1,1,179,137227,54,40:00.0,6,2:00,878,841,841
2932918264,L,OB,1,1,239,128237,9,50:00.0,6,2:00,375,381,381
2932918273,L,OB,1,1,220,138401,16,56:00.0,6,2:00,272,272,272
2932918282,L,OB,1,1,88,137647,59,06:00.0,6,14:00,847,830,830
2932918291,L,OB,1,1,221,138401,16,56:00.0,6,2:00,272,272,272
2932918300,L,OB,1,10,2992,136990,19,14:00.0,6,2:00,261,261,261
293291831X,L,OB,1,1,430,135615,53,50:00.0,7,2:00,143,135,135
2932918329,L,OB,1,1,208,135696,68,25:00.0,7,8:00,152,153,153
2932918338,L,OB,1,1,84,130830,56,51:00.0,7,2:00,868,875,875
2932918347,L,OB,1,1,286,290935,35,38:00.0,7,2:00,347,347,347
2932918356,L,OB,1,1,227,129663,54,36:00.0,7,2:00,841,841,841
2932918365,L,OB,1,1,213,134853,37,59:00.0,7,6:00,642,642,642
2932918374,L,OB,1,1,536,133161,59,42:00.0,7,2:00,830,830,830
