Pro,UL,Dock,Ship,Pcs,Wgt,ULTrlr,ULDoor,UnloadTS,UnLoadDOW,LoadInterval,Org,UnloadDate,UnloadTime
3240512656,U,IB,1,2,2202,821346,159,"43,403.85",3,20:00,324,10/30/2018,20:24:00
3240512665,U,IB,1,4,1495,821347,161,"43,405.94",5,22:00,324,11/1/2018,22:34:00
3240512674,U,IB,1,4,4060,821347,112,"43,418.88",4,21:00,324,11/14/2018,21:13:00
3240512683,U,IB,1,9,2865,821346,118,"43,421.07",7,1:00,324,11/17/2018,1:36:00
3240913505,U,IB,1,1,645,558400,114,"43,395.90",2,21:00,324,10/22/2018,21:35:00
3241289467,U,IB,1,4,1640,390299,164,"43,394.01",1,0:00,324,10/21/2018,0:15:00
3241289476,U,IB,1,10,3680,390299,164,"43,394.02",1,0:00,324,10/21/2018,0:28:00
3241289485,U,IB,1,11,5495,390299,164,"43,394.01",1,0:00,324,10/21/2018,0:11:00
3241289494,U,IB,1,5,2125,390299,164,"43,394.01",1,0:00,324,10/21/2018,0:21:00
3241289512,U,IB,1,14,5965,560723,118,"43,395.80",2,19:00,324,10/22/2018,19:17:00
3241289521,U,IB,1,2,440,560802,160,"43,402.98",2,23:00,324,10/29/2018,23:27:00
3241289530,U,IB,1,3,840,560802,160,"43,402.99",2,23:00,324,10/29/2018,23:44:00
324128954X,U,IB,1,2,610,560802,160,"43,402.99",2,23:00,324,10/29/2018,23:48:00
3241289559,U,IB,1,1,485,560802,160,"43,402.98",2,23:00,324,10/29/2018,23:35:00
3241289568,U,IB,1,1,385,560802,160,"43,402.97",2,23:00,324,10/29/2018,23:20:00
3241289577,U,IB,1,2,710,560802,160,"43,402.98",2,23:00,324,10/29/2018,23:31:00
3241289577,U,CTY,1,2,710,560802,170,"43,403.43",3,10:00,324,10/30/2018,10:23:00
3241289586,U,IB,1,10,3985,560802,160,"43,402.97",2,23:00,324,10/29/2018,23:16:00
3241289595,U,IB,1,4,1840,560802,160,"43,402.89",2,21:00,324,10/29/2018,21:22:00
3241289604,U,IB,1,5,1725,530407,130,"43,402.75",2,17:00,324,10/29/2018,17:55:00
3241289613,U,IB,1,13,5570,560802,160,"43,402.87",2,20:00,324,10/29/2018,20:53:00
3241289640,U,IB,1,13,5445,530407,130,"43,402.77",2,18:00,324,10/29/2018,18:29:00
324128965X,U,IB,1,2,720,430295,160,"43,406.80",6,19:00,324,11/2/2018,19:06:00
3241289669,U,IB,1,5,2095,430295,160,"43,406.79",6,19:00,324,11/2/2018,19:04:00
3241289678,U,IB,1,6,2220,430295,160,"43,406.79",6,18:00,324,11/2/2018,18:56:00
3241289687,U,OB,1,5,1960,559509,22,"43,407.48",7,11:00,324,11/3/2018,11:38:00
3241289696,U,OB,1,6,2260,559509,22,"43,407.47",7,11:00,324,11/3/2018,11:14:00
3241289705,U,OB,1,8,2860,559509,22,"43,407.45",7,10:00,324,11/3/2018,10:50:00
3241289714,U,OB,1,19,7675,559509,22,"43,407.43",7,10:00,324,11/3/2018,10:26:00
3241289723,U,OB,1,2,1920,560300,85,"43,412.02",5,0:00,324,11/8/2018,0:26:00
3241289732,U,OB,1,4,2980,560300,85,"43,412.03",5,0:00,324,11/8/2018,0:42:00
3241289741,U,IB,1,10,4300,904221,114,"43,415.46",1,11:00,324,11/11/2018,11:07:00
3241289750,U,IB,1,13,3935,904221,114,"43,415.46",1,11:00,324,11/11/2018,11:03:00
3241289779,U,IB,1,2,995,904221,114,"43,414.10",7,2:00,324,11/10/2018,2:21:00
3241289788,U,IB,1,3,1115,558451,112,"43,416.72",2,17:00,324,11/12/2018,17:19:00
3241289797,U,IB,1,2,805,904221,114,"43,414.16",7,3:00,324,11/10/2018,3:53:00
3241289806,U,IB,1,6,2645,558451,112,"43,416.71",2,17:00,324,11/12/2018,17:09:00
3241289815,U,IB,1,9,4280,558451,112,"43,416.68",2,16:00,324,11/12/2018,16:16:00
3241289824,U,IB,1,6,2490,000OSD,146,"43,417.65",3,15:00,324,11/13/2018,15:31:00
3241289851,U,IB,1,13,4338,310180,116,"43,415.77",1,18:00,324,11/11/2018,18:32:00
3241289860,U,IB,1,3,759,310180,116,"43,415.76",1,18:00,324,11/11/2018,18:13:00
3241289889,U,IB,1,5,2057,310180,116,"43,415.75",1,17:00,324,11/11/2018,17:55:00
